datetime,cap_weighted_index,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW
2020-11-14 00:00:00+00:00,491.15883630947394,5748.114040084168,341.58712320399565,36.224243831117406,3804829210.642289,312838214.8496419,119.61005975157985,227599042.3059545,114.29436274460151
2020-11-15 00:00:00+00:00,486.27554322310186,5585.767389687364,342.8845964194868,35.68487109614711,3551629802.649652,286930650.5792481,119.36865836888255,208859797.67659894,113.7399064300195
2020-11-16 00:00:00+00:00,509.0029693506665,5679.1742643533635,349.9386384627575,36.55354433797902,3466562037.1474996,272570167.2951133,124.09349013031058,201103906.03256762,118.42664208959815
2020-11-17 00:00:00+00:00,536.0697694073389,5886.122091115628,358.0160337656596,37.793401058740486,3618543442.8613605,285939863.2561441,130.3185643248732,207807452.68683594,123.7156095037113
2020-11-18 00:00:00+00:00,538.9492876265923,5823.1786915479815,360.51007264365154,37.8049957571783,3536298509.0478234,285152566.00936466,129.32326421363655,206793999.23649356,122.7434940476261
2020-11-19 00:00:00+00:00,539.2090171523857,5787.151453984236,350.1313408678593,37.32475160223732,3617450807.9901752,284414596.5158591,132.50788242002304,208095225.79070148,123.66239555224954
2020-11-20 00:00:00+00:00,566.4897143496422,5979.4121301986115,360.7996292914705,38.305550473735785,3703716984.973513,288029542.08251065,137.72718270118347,210230678.59591702,128.72104890578308
2020-11-21 00:00:00+00:00,586.3636359368677,6317.903882129479,370.0963148205875,40.753069342805354,3751658576.380812,287703248.3985433,151.99339390156112,207986970.9285269,141.85640667117562
2020-11-22 00:00:00+00:00,579.2834916761058,6284.237552108563,367.43623141984443,39.999563334393414,3940357673.9968724,296148487.5710519,147.88179119369784,215778270.54109415,137.3240961993335
2020-11-23 00:00:00+00:00,603.6490932819299,6781.415116300418,372.4182097012754,41.619498423405076,4411103095.037191,313978913.1039076,161.48207079774704,228706471.6673264,150.9004226368886
2020-11-24 00:00:00+00:00,630.3127444403249,7175.1256522352705,401.6689718113827,44.30685535717879,4175249765.001996,305590043.3588707,172.47525552726964,220299420.67638072,165.4005424117058
2020-11-25 00:00:00+00:00,612.1752770911844,7150.208057065187,402.78480692522044,44.50635626700845,4446528101.635331,328827606.1067122,162.40959908289904,234654416.0207283,157.154755908459
2020-11-26 00:00:00+00:00,555.6357795837565,6421.405776982448,368.0643373838991,40.07051387888419,4074436133.82935,290399897.2780003,144.51506052388436,209087895.0680269,139.37010720177707
2020-11-27 00:00:00+00:00,557.669676571059,6581.0967117236505,374.28714409890273,40.10915177118958,4204956359.877439,297414826.87840253,146.7108368037035,213159089.00465262,142.47756178081158
2020-11-28 00:00:00+00:00,581.0287604877484,6907.7584866605175,391.3839645803835,41.619632861748016,4440370329.548142,308486618.28877705,154.1871327817648,218464281.3753598,149.75488711637726
2020-11-29 00:00:00+00:00,597.6970028072435,7000.18283805596,393.45874524502887,42.43027700231685,4646417590.76885,316546627.9632864,158.0940648315888,226701053.1473653,152.8070387267941
2020-11-30 00:00:00+00:00,644.2240236037861,7380.01205472272,411.3503490720588,44.53489766980473,4998648059.315956,348217702.7228212,165.71575563228578,250724112.4541439,159.21844086015267
2020-12-01 00:00:00+00:00,615.6287836047957,7126.597277934098,396.35190337122316,43.33401844867456,4977286214.780551,347823329.081691,158.67053176892472,250425168.8409432,152.23724970678475
2020-12-02 00:00:00+00:00,628.8275496577385,7335.801252301568,407.9530071670682,44.55229149168828,5163941873.723897,364292056.9895018,162.88556160256502,262821351.01611897,155.96107491726798
2020-12-03 00:00:00+00:00,638.3672647094616,7533.518692821468,417.59349663554366,45.51481007787745,5215502276.451967,373371436.0814946,170.9284358567432,269398218.7978835,160.36687291201636
2020-12-04 00:00:00+00:00,606.9521546162181,7050.625052790254,403.4359679831599,42.85336610106706,4931079058.652059,350658059.8196029,158.63464362458924,251444867.9313479,148.4548679179008
2020-12-05 00:00:00+00:00,625.2222858556222,7385.399362915981,414.1519320496356,44.12774167805285,5078111791.030543,367805870.1313746,165.95112884264796,262405830.37616247,155.17241945354183
