datetime,cap_weighted_index,ponderated_index,MV,LV,HV,RP,LB,HB
2016-12-19 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-12-20 00:00:00+00:00,100.87613770682738,99.10540932377828,99.4138867517632,99.00738818487824,98.23321805256803,98.97647207710095,98.5833877362722,100.61869713874749
2016-12-21 00:00:00+00:00,104.76867944427053,99.89580280076974,100.22951713198816,100.38448261892042,98.56765243956104,99.62712664068127,98.68995600737804,103.10884814496262
2016-12-22 00:00:00+00:00,108.07411715857089,100.14355541356474,100.46870234778102,98.3429200725025,100.59733195339659,99.19908951306203,98.63393727706995,105.46222581597964
2016-12-23 00:00:00+00:00,114.78373229324461,101.56855312342054,102.568004208267,100.37792192182147,100.77024165338247,101.15418479628686,99.7073490248023,114.68872662018651
2016-12-24 00:00:00+00:00,112.24750129928643,101.72069205860322,102.30169683648856,99.8490401140493,101.82508877646781,101.26568071378664,100.60074318252438,112.30933121119674
2016-12-25 00:00:00+00:00,111.8557151636271,101.7096759477151,101.61477677720099,99.50324290190774,104.22411488825503,100.78021115281214,101.31081395212559,110.73346454840711
2016-12-26 00:00:00+00:00,113.29667378134323,102.3708772780685,101.4142540324392,98.22701852139616,107.08333230511062,102.11910662001638,104.26550283619898,111.48859606585783
2016-12-27 00:00:00+00:00,116.41923154825047,102.77859241205411,101.65732064833104,97.38951430368554,108.69537299815777,103.4427943507801,105.35132735958592,113.16317320208833
2016-12-28 00:00:00+00:00,121.67308523205548,105.9139319765329,105.24515683018056,100.89257365320132,111.45339206786772,106.09652119733903,105.4232000766133,118.68870400419583
2016-12-29 00:00:00+00:00,121.99939395597016,111.1313693320308,110.32452992516657,106.46942871685798,116.904327577691,110.58859488792893,109.18745046571257,120.05490076784872
2016-12-30 00:00:00+00:00,120.52766176583268,111.67318537459663,110.46171154086886,105.77226265940607,118.8209110449064,111.18120284180799,111.33896976719187,117.91956845889229
2016-12-31 00:00:00+00:00,120.74770496321572,110.32955567314215,108.98572469684629,104.93585438566899,117.50493131760295,110.38491769421148,110.75511476222601,117.22638161761785
2017-01-01 00:00:00+00:00,124.8847527543898,113.41201518086,111.48655334825376,107.23650963335697,123.31970185287118,112.43886330683304,113.55313492149696,121.50035617479116
2017-01-02 00:00:00+00:00,127.9545866688267,114.58924592975697,112.6323564227013,108.29425433294185,123.79860638841834,114.03285778397554,112.65097149728508,123.60246044075505
2017-01-03 00:00:00+00:00,131.48234459312337,117.44783842642819,115.5741689289603,112.94107538159443,124.56837281127638,117.6420651443169,114.97253238777539,126.02031119266401
2017-01-04 00:00:00+00:00,145.76311084409897,131.22721034906039,129.1318325143095,123.42335120888524,141.6021470668611,131.06416148829257,127.12181247890966,141.75324780524687
2017-01-05 00:00:00+00:00,128.44323406330125,121.22393679070997,118.82574772720984,114.6398449572918,130.66980419139617,121.11247806280193,117.79138442964438,126.81309331398731
2017-01-06 00:00:00+00:00,115.42955808781379,116.24548504882735,112.85344585340276,109.5015898710495,129.33986593095088,114.56895115716763,110.42688310771511,116.21591440776156
2017-01-07 00:00:00+00:00,115.90515336359732,117.43174093378744,115.34146888322184,111.71468972574772,125.8319825384384,116.21139459537318,111.34680936916664,119.29824106999125
2017-01-08 00:00:00+00:00,116.5029422373633,120.43378160477913,118.35037352294484,114.15788805907101,128.04203827713673,119.52488648582067,115.35987244003189,121.52022298766094
2017-01-09 00:00:00+00:00,115.6726750265845,119.45016342866455,118.921919849542,113.0979272635293,126.07323447726866,118.97011474360662,117.98993567378713,122.78617883667692
2017-01-10 00:00:00+00:00,116.59651003457019,118.85845640697079,119.13306105120793,114.70977905672228,124.17153575832775,118.29332601944003,116.69760959142728,123.9522589957498
2017-01-11 00:00:00+00:00,100.64518619739331,106.57871065178996,106.66164819196193,104.39767468231445,109.75814198625638,106.04847722840599,103.69902661522623,110.20868165119033
2017-01-12 00:00:00+00:00,104.00690598856575,111.31824426936672,109.29660240015937,108.00032412182222,116.22453893486582,110.42168954927082,106.00510351832109,114.67640719524334
2017-01-13 00:00:00+00:00,106.15700962304626,114.44119408606734,110.59591364254624,109.5051576274085,120.93413107068498,113.3413502175322,108.16003743002034,117.38349306317537
2017-01-14 00:00:00+00:00,105.49972926941568,114.75822321701602,111.58383529376978,109.60780671367804,120.84604603686506,113.36310356216401,110.37805859060803,116.57556897505455
