datetime,cap_weighted_index,BTC,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW,LB_BTC,HB_BTC
2016-05-24 00:00:00+00:00,91.76651641594286,87.25000146727099,809.6834369967382,487.2931885823384,205.24893103012323,2178.278806148469,484.9311339378776,951.942795508274,484.9311339378776,951.942795508274,582.4277711644216,792.4377846101462
2016-05-25 00:00:00+00:00,92.39602372024812,87.95781302271526,792.5278547498654,486.07683767646216,202.40084119917503,2116.1983993611548,477.7943968913336,925.6129980837778,477.7943968913336,925.6129980837778,573.8561749922985,770.5197382330407
2016-05-26 00:00:00+00:00,93.07677673332297,88.69829581358218,778.1990492344319,481.7417751015242,200.3955806373644,2060.643155301952,468.83004604638086,909.5093587607153,468.83004604638086,909.5093587607153,563.0895186216011,757.1143820188419
2016-05-27 00:00:00+00:00,97.1685928534294,92.62666950991186,794.122563160939,492.4989238753884,206.89950672326665,2078.093868644065,477.7244321005625,929.4754195399053,477.7244321005625,929.4754195399053,573.7721436024846,773.7349825905443
2016-05-28 00:00:00+00:00,108.12348634161482,103.69497978100486,806.875206600243,508.4874850694392,213.3046822693116,2080.503758288488,476.8324655580779,961.0633489073939,476.8324655580779,961.0633489073939,572.7008449191565,800.0301222633325
2016-05-29 00:00:00+00:00,107.42466183519488,102.95019299505232,809.9705756830635,505.79345079922825,212.94446325651123,2099.9798506490533,484.35618622055756,953.272915764838,484.35618622055756,953.272915764838,581.7372287469537,793.5450334431116
2016-05-30 00:00:00+00:00,109.02365351914536,104.44309238134177,854.7223890334793,524.947643055311,215.4966645179133,2306.863624750589,520.3172558316778,987.8359479807092,520.3172558316778,987.8359479807092,624.9283628203876,822.3167756189954
2016-05-31 00:00:00+00:00,108.45553734530652,103.95830602578874,843.2944380575776,520.3486517283707,214.58506022583452,2254.9350086323,513.5067465060026,974.3504225456825,513.5067465060026,974.3504225456825,616.748583281721,811.0908490712443
2016-06-01 00:00:00+00:00,109.60915403862354,105.04095642596245,856.5776580465869,534.4417090271791,222.44687888117522,2243.3578425838064,522.7025592296214,987.596998269775,522.7025592296214,987.596998269775,628.4964217239152,821.1931006968141
2016-06-02 00:00:00+00:00,109.77709718568929,105.24676564551123,856.012091196407,529.302181401049,216.6986614622152,2298.3657120491966,531.2761744620666,970.0938157615029,531.2761744620666,970.0938157615029,629.2668447165114,819.1020589654871
2016-06-03 00:00:00+00:00,115.87157979223058,111.35491721656723,874.5807659965699,544.8499574560334,226.03950969378013,2299.0067249814374,526.4847454265328,1020.9295038321587,526.4847454265328,1020.9295038321587,638.4643506101759,842.6659183785081
2016-06-04 00:00:00+00:00,116.4911599530682,112.04609970008978,876.3083252525538,551.4244214368013,227.0684982465686,2297.6235249150427,523.9115814716718,1029.9525219373072,523.9115814716718,1029.9525219373072,636.5008366972265,848.5864633284577
2016-06-05 00:00:00+00:00,116.88833640215455,112.48628101566457,855.1945311359058,541.5593677909619,225.26115662241543,2205.1933630285043,514.1657171738957,999.4804165240588,514.1657171738957,999.4804165240588,626.0945167881488,821.5685012343903
2016-06-06 00:00:00+00:00,118.99338904350427,114.55219865676227,872.3581548070943,554.6938358305142,230.63613435277927,2241.0908241756383,515.0858627155567,1037.810595641307,515.0858627155567,1037.810595641307,622.5382644918355,859.2125655974232
2016-06-07 00:00:00+00:00,117.17969244310065,112.80321156287845,882.820953191765,549.2018316110974,227.487663682248,2325.442430400132,529.6009066145016,1033.4596148804667,529.6009066145016,1033.4596148804667,641.1079312918237,854.19341974105
