datetime,cap_weighted_index,CW_noBTC,ponderated_index,MV,LV,HV,LB,HB,LB_EW,HB_EW,LB_noBTC,HB_noBTC
2016-06-13 00:00:00+00:00,124.75354195729402,49.60347779791124,725.075494382806,590.2829159222988,157.57326352544925,1383.529755632245,2653.5669251793815,127.30660248805212,2653.5669251793815,127.30660248805212,2910.2489361706384,111.8810376823679
2016-06-14 00:00:00+00:00,122.48242035584786,53.69924761150477,774.3011231686172,596.093294514299,162.51970161898277,1725.2052674774734,2918.382982167972,131.887659074691,2918.382982167972,131.887659074691,3200.680898077855,115.90701398350203
2016-06-15 00:00:00+00:00,124.04453663811681,54.18698642245595,805.0314926627237,607.1548410664193,164.31596135807118,1869.356664386348,3051.5013415910635,136.34045280745502,3051.5013415910635,136.34045280745502,3346.675920935492,119.82026886322392
2016-06-16 00:00:00+00:00,136.29248346794662,56.272088568456404,873.5194115827877,635.1152204941549,170.73356599294937,2303.594230675972,3404.176213375724,143.78129422682701,3404.176213375724,143.78129422682701,3733.465362982837,126.35951382742294
2016-06-17 00:00:00+00:00,133.25495434606506,55.49834780277242,845.880123958302,615.9279935352854,169.85195364240084,2247.7013285294324,3275.083511316358,140.13489525907295,3275.083511316358,140.13489525907295,3591.885403091581,123.15494397524634
2016-06-18 00:00:00+00:00,134.4475360578155,55.580674410730005,865.940871663209,641.1259903653107,175.11587862642435,2143.2739590642664,3221.8843662703016,149.05802058444965,3221.8843662703016,149.05802058444965,3533.5402549792875,130.99686655633678
2016-06-19 00:00:00+00:00,135.84243848645158,56.40661178274377,882.5264681329321,649.6349399575322,178.8609653638322,2294.136455366793,3257.284881103975,153.13013883772496,3257.284881103975,153.13013883772496,3572.3650947287615,134.57557187748858
2016-06-20 00:00:00+00:00,131.1803639506498,54.94433422974715,876.5069209220435,641.5835216179405,169.2872383621403,2314.4796709637285,3251.450968644503,151.31545652668768,3251.450968644503,151.31545652668768,3565.9668624596643,132.9807721101965
2016-06-21 00:00:00+00:00,118.77264614982342,50.89812450639584,811.182010186841,602.5686894801551,157.2960257598842,2050.368316592993,2929.981991698905,143.7212386913068,2929.981991698905,143.7212386913068,3213.401890651181,126.30673513801278
2016-06-22 00:00:00+00:00,106.42222405255947,47.2184512988408,740.3188003831203,552.5892461721439,143.49939631184458,1790.8950932571113,2678.8024280153386,130.93168831739422,2678.8024280153386,130.93168831739422,2937.925492802844,115.06687687961215
2016-06-23 00:00:00+00:00,111.11438133290706,47.10316341654385,780.8273304009705,579.4122154098592,146.05797829347742,1880.377095497076,2859.3214705173814,136.43702581065116,2859.3214705173814,136.43702581065116,3135.9063111553332,119.90514024929908
2016-06-24 00:00:00+00:00,118.33927821411774,49.1524023343182,811.6393854280126,592.4470147933001,152.6285600223084,2049.4399690043597,3065.320934546397,137.3752598020688,3065.320934546397,137.3752598020688,3361.8322960451387,120.72968972668005
2016-06-25 00:00:00+00:00,118.26807910735506,48.80703450086366,816.4080557792408,602.5729705223355,152.2680776517472,1967.0289426697398,3023.1671442990946,140.87867894151069,3023.1671442990946,140.87867894151069,3315.600930233825,123.80860441842833
2016-06-26 00:00:00+00:00,112.15619344495626,48.14111209824317,814.4807100539055,602.8471735769181,149.04043790392038,1962.263781409981,2964.2510295571537,142.95898988005476,2964.2510295571537,142.95898988005476,3250.9858045989404,125.63684696011528
2016-06-27 00:00:00+00:00,116.588744532721,48.74169640133908,845.8987261343702,627.09658459063,151.3690249880538,2025.5521504013518,3079.6284140292105,148.42368816237394,3079.6284140292105,148.42368816237394,3377.52375140247,130.43939531580097
2016-06-28 00:00:00+00:00,115.34493275655677,49.89979959582896,880.3460284026254,647.5717211335967,154.7439817542626,2172.411414624144,3210.533281262322,154.20312016473045,3210.533281262322,154.20312016473045,3521.091168899946,135.51854154232143
2016-06-29 00:00:00+00:00,114.14349815200198,49.97137378400571,911.3062598369532,663.732209210893,154.6066806676426,2315.364193553723,3442.5909339752175,153.9034124265386,3442.5909339752175,153.9034124265386,3775.5959754415435,135.25514897591086
2016-06-30 00:00:00+00:00,119.83822394285181,50.365509746988316,927.1118859475527,678.3463860506741,156.686628383298,2205.781635272161,3549.52967727942,154.461219870979,3549.52967727942,154.461219870979,3892.8790034229996,135.74536766442546
2016-07-01 00:00:00+00:00,120.41272322321714,51.02235357417156,915.914589063628,671.8283021911033,158.64712469299417,2147.8037285651676,3491.6255737028437,153.24992787592558,3491.6255737028437,153.24992787592558,3829.373781740206,134.68084624374228
2016-07-02 00:00:00+00:00,125.20668924362657,52.43754004356982,972.4552751474401,708.4686556597327,163.02022986889543,2298.3695249536236,3817.451669781944,157.86985288986926,3817.451669781944,157.86985288986926,4186.717340891906,138.74098133864638
2016-07-03 00:00:00+00:00,117.3346598614913,50.25556624165589,951.1153938225744,686.2407484349505,154.56739462784216,2315.2969806558235,3856.5928017568053,149.3224833035786,3856.5928017568053,149.3224833035786,4229.64463117785,131.22928469385803
2016-07-04 00:00:00+00:00,121.88460115520338,52.887887665349254,1089.2142772100528,790.938058893276,162.22846389274065,2366.1639909747378,4837.9435288404775,154.68808663652374,4837.9435288404775,154.68808663652374,5305.922332111463,135.9447452980181
2016-07-05 00:00:00+00:00,119.4918181166582,51.38860930132717,1095.5130993882858,796.1855630591253,157.8964237045935,2322.7427639580796,5046.101485892536,149.8215507495555,5046.101485892536,149.8215507495555,5534.215603073627,131.6678808282151
2016-07-06 00:00:00+00:00,120.63066024802067,51.608849480165084,1082.4765217765782,791.6560243246972,158.65578868583972,2318.1652837130855,4899.110380075655,150.62005300011077,4899.110380075655,150.62005300011077,5373.005910086062,132.36962966635735
2016-07-07 00:00:00+00:00,114.16391668469257,49.44958042072586,1016.5414653011965,736.0212813787981,151.2331258657678,2281.8165391763437,4559.386711946017,142.71571484389185,4559.386711946017,142.71571484389185,5000.420453738686,125.423049223343
2016-07-08 00:00:00+00:00,118.70092120216924,50.80016079914865,1055.1294154093093,765.7605013770198,155.73932670944572,2304.9527352104005,4691.669740462589,149.4100427503253,4691.669740462589,149.4100427503253,5145.499343349793,131.30623468364223
2016-07-09 00:00:00+00:00,116.00329647623562,50.221094076173266,1033.9674714574794,746.5382059709298,153.6944655125393,2367.51510168498,4629.2093441711395,145.4059332777062,4629.2093441711395,145.4059332777062,5076.997094495563,127.7872976133323
2016-07-10 00:00:00+00:00,115.70396076071236,50.03920209682292,1025.4129351549063,738.9070304824447,151.92874852425743,2383.0001324625887,4521.4824721564955,146.38365796989524,4521.4824721564955,146.38365796989524,4958.849701376238,128.6465527579353
2016-07-11 00:00:00+00:00,115.4360532857948,50.78634147260457,1044.5315061169638,760.5751072540593,151.37383686809275,2342.9225102514342,4426.081106842922,154.93086546972816,4426.081106842922,154.93086546972816,4854.220072751255,136.15810695605768
2016-07-12 00:00:00+00:00,118.27751677004137,50.60802089868375,1067.3990085375542,768.9199966157732,154.17187574554234,2470.807924630116,4574.12256858912,156.53248790767546,4574.12256858912,156.53248790767546,5016.581723579751,137.56566302016458
2016-07-13 00:00:00+00:00,116.56787837038576,50.47724948472078,1070.8703985616667,768.9557931419486,153.9811683834382,2457.7683606607816,4650.7528812171095,154.92824630211524,4650.7528812171095,154.92824630211524,5100.6245580332115,136.15580514935897
2016-07-14 00:00:00+00:00,117.17065062353198,50.50638770007555,1065.137664156469,761.3164406099843,153.18120878860805,2537.395624031692,4636.07647384908,153.75838678728192,4636.07647384908,153.75838678728192,5084.528488051207,135.12769589261848
2016-07-15 00:00:00+00:00,118.15761903910413,51.52631289927321,1115.8097886842359,786.2022026820157,154.3801327312466,2788.123103350307,4947.544888796258,158.05793213369464,4947.544888796258,158.05793213369464,5426.125534143989,138.90627128083682
2016-07-16 00:00:00+00:00,117.74916493532426,51.56437375295665,1117.314292526332,786.4834714302864,154.86904774230587,2776.6167398178436,4998.969464916947,156.84131986170232,4998.969464916947,156.84131986170232,5482.524457618716,137.83707423380716
2016-07-17 00:00:00+00:00,120.90341716004893,51.58761667070411,1130.479898955913,795.5217085048687,155.2272082572508,2762.1515991013853,5041.408970946312,159.20599635232458,5041.408970946312,159.20599635232458,5529.0691767669705,139.91522614724582
