,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,,,,,,,,,0.0483243980040376
BTC,,,,,,,,,0.0
EW,,,,,,,,,0.0
MV,,,,,,,,,0.3979117365218225
Low Vol,,,,,,,,,
High Vol,,,,,,,,,
Low Beta,,,,,,,,,0.174468085106383
High Beta,,,,,,,,,0.174468085106383
Low Beta EW,,,,,,,,,0.051063829787234
High Beta EW,,,,,,,,,0.051063829787234
Low Beta BTC,,,,,,,,,0.076595744680851
High Beta BTC,,,,,,,,,0.07659574468085108
