date,cap_weighted_index
2014-04-29,0.014870977070824997
2014-04-30,-0.0013154618559493908
2014-05-01,0.022872307982555844
2014-05-02,-0.016142474230910822
2014-05-03,-0.026193500943987858
2014-05-04,-0.0036162079825491807
2014-05-05,-0.006587080224757724
2014-05-06,-0.012914519197796629
2014-05-07,0.02249428505822071
2014-05-08,0.003337592539582568
2014-05-09,0.019165012356465425
2014-05-10,0.012131104609438179
2014-05-11,-0.03475193272457884
2014-05-12,0.005747217035177708
2014-05-13,-0.0027101779620719497
2014-05-14,0.005723177930980811
2014-05-15,0.0067214563406417975
2014-05-16,0.002061520231655925
2014-05-17,0.002665588261662305
2014-05-18,-0.005977799542057072
2014-05-19,0.0005885998802643646
2014-05-20,0.08764955696292537
2014-05-21,0.013197032071207416
2014-05-22,0.07050301816625126
2014-05-23,-0.012391986141361241
2014-05-24,0.010102595059124263
2014-05-25,0.087237667649239
2014-05-26,0.024101567048551844
2014-05-27,-0.020520361579993762
2014-05-28,0.012871533800761009
2014-05-29,-0.016211040577304235
2014-05-30,0.0829215675897686
2014-05-31,0.014893439371175921
2014-06-01,0.009170873688347559
2014-06-02,0.048558546768792656
2014-06-03,0.010398728889797159
2014-06-04,-0.040110594543670865
2014-06-05,0.02740480825609956
2014-06-06,-0.008263422732379894
2014-06-07,0.0029407147734816013
2014-06-08,0.002413443480510123
2014-06-09,-0.012087649879541919
2014-06-10,0.005223352050148989
2014-06-11,-0.03277573296019573
2014-06-12,-0.07513203762298308
2014-06-13,0.021519133674271287
2014-06-14,-0.03853765969382849
2014-06-15,0.02725045648686093
2014-06-16,0.00012309403117978287
2014-06-17,0.033361084534353054
2014-06-18,-0.0049120148872146135
2014-06-19,-0.018321971421204276
2014-06-20,-0.0052947095787883765
2014-06-21,0.0021945278595133727
2014-06-22,0.012427357790739986
2014-06-23,-0.01397829124995452
2014-06-24,-0.019848452824703402
2014-06-25,-0.026102006347744493
2014-06-26,0.026791304423852084
2014-06-27,0.028272574131903518
2014-06-28,2.7227617858433502e-05
2014-06-29,0.011747598388431809
2014-06-30,0.06287319758254518
2014-07-01,0.005853235882668328
2014-07-02,0.015572202454879034
2014-07-03,-0.009688991058237208
2014-07-04,-0.020616735137651884
2014-07-05,0.0023227737329133383
2014-07-06,0.007992969035802917
2014-07-07,-0.020215777756819486
2014-07-08,-0.0005361067599095302
2014-07-09,-0.0009409388164044505
2014-07-10,-0.012653345425488523
2014-07-11,0.02421203236899582
2014-07-12,0.00047245638146320846
2014-07-13,-0.01227149893757008
2014-07-14,-0.011301290460504473
2014-07-15,0.004118700341580451
2014-07-16,-0.00744533342138475
2014-07-17,0.007426288201779895
2014-07-18,0.008657737396979165
2014-07-19,0.0008462244642433179
2014-07-20,-0.007498961087691568
2014-07-21,-0.0027857933419226676
2014-07-22,-0.0009831318203180376
2014-07-23,-0.003195065540317046
2014-07-24,-0.027473329708626423
2014-07-25,-0.0002830886097441234
2014-07-26,-0.008907933443535293
2014-07-27,-0.0036944034925554268
2014-07-28,-0.013363475279701031
2014-07-29,-0.0019947693090106534
2014-07-30,-0.028830587320315446
2014-07-31,0.031777291705196865
2014-08-01,0.014538179686561938
2014-08-02,-0.009011227463305353
2014-08-03,-0.004523477806023535
2014-08-04,0.004905730913919589
2014-08-05,-0.004962675746401468
2014-08-06,-0.0011237379345348548
2014-08-07,0.007701218676477321
2014-08-08,0.007112936158386031
2014-08-09,-0.004203122277930968
2014-08-10,0.00342441792730575
2014-08-11,-0.022011442716858155
2014-08-12,-0.010075456175610696
2014-08-13,-0.039859660233368885
2014-08-14,-0.07993601519063077
2014-08-15,-0.018039863596546118
2014-08-16,0.047407153229698934
2014-08-17,-0.05403386331217423
2014-08-18,-0.06097910273908677
2014-08-19,0.04454511013298814
2014-08-20,0.05139028878517187
2014-08-21,0.009719618137455607
2014-08-22,-0.0037538706155452357
2014-08-23,-0.03042149780415476
2014-08-24,0.01811103471312409
2014-08-25,-0.010244855965588842
2014-08-26,0.0025898649614744577
2014-08-27,-0.0005105395798731416
2014-08-28,-0.006093297680126806
2014-08-29,0.0009109527159957563
2014-08-30,-0.008178932971456984
2014-08-31,-0.0542207633322814
2014-09-01,-0.006171691093011349
2014-09-02,0.006823734369935875
2014-09-03,-0.0009874041161954282
2014-09-04,0.023881303566837663
2014-09-05,-0.013620926874041508
2014-09-06,0.0023977421928677686
2014-09-07,-0.005586654693009119
2014-09-08,-0.01619373970124647
2014-09-09,0.0012297825256470016
2014-09-10,0.007315303692369107
2014-09-11,-0.00010115869698503999
2014-09-12,-0.004283145136072484
2014-09-13,0.001547672040880397
2014-09-14,-0.004690020940869052
2014-09-15,-0.004051704005805774
2014-09-16,-0.02181482088380123
2014-09-17,-0.022634794001357376
2014-09-18,-0.07742302079205739
2014-09-19,-0.07138263984459572
2014-09-20,0.03673920466043643
2014-09-21,-0.02450307592368352
2014-09-22,0.007585233573347418
2014-09-23,0.08384276934579188
2014-09-24,-0.03150569069856374
2014-09-25,-0.028894389314257415
2014-09-26,-0.019055344436407252
2014-09-27,-0.011829652365449942
2014-09-28,-0.06290830856312614
2014-09-29,-0.001649095718459524
2014-09-30,0.031106161570063996
2014-10-01,-0.008768097495523689
2014-10-02,-0.023104057913748248
2014-10-03,-0.04440755588623036
2014-10-04,-0.09251196649508955
2014-10-05,-0.02497339153051863
2014-10-06,0.028669317911387573
2014-10-07,0.019113707638858998
2014-10-08,0.05178738245539522
2014-10-09,0.035035828516370084
2014-10-10,-0.008264446566785284
2014-10-11,0.0027935524252689077
