datetime,peercoin,namecoin,litecoin,bitcoin,feathercoin,primecoin,ripple,nxt,dogecoin,omni
2013-12-25 00:00:00+00:00,0.007823132744247768,0.0037920038403049905,0.05535695728053175,0.8959588014305742,0.0008506375691999333,0.000941764656020845,0.018589683521758594,0.006953700390718118,0.0008840175678942082,0.008849300998749693
2013-12-26 00:00:00+00:00,0.00800095072164761,0.0038813154438947276,0.05768737796433894,0.8901389910104712,0.0009692038773707879,0.0009880133000948563,0.018286591198921995,0.008105813044702015,0.0008476341857084309,0.011094109252849357
2013-12-27 00:00:00+00:00,0.00793716205509974,0.0036616185321767967,0.05626429326748973,0.8900893716088646,0.0009322983664341078,0.0009583811595149978,0.021038584750845846,0.0071362499009288705,0.000796781546196597,0.011185258812448758
2013-12-28 00:00:00+00:00,0.008961491270671518,0.0036804659392940214,0.05523105482797911,0.8913936384788326,0.0009374511096065219,0.0009793871933892575,0.02145126890555353,0.006034305891876293,0.0007410742849200598,0.010589862097877134
2013-12-29 00:00:00+00:00,0.00880840047706258,0.003738469825946386,0.05750986157397432,0.8899488793268062,0.0009396439885633776,0.0010059826394418214,0.020850572241957507,0.005499451708476801,0.000748120492967817,0.01095061772480322
2013-12-30 00:00:00+00:00,0.009224877089672342,0.003770800214867345,0.05748487928966869,0.890105204705057,0.0009435009841164484,0.0009902009602787895,0.020731803170925378,0.004913634873717289,0.0007021187410430946,0.011132979970653566
2013-12-31 00:00:00+00:00,0.009378846387733343,0.0037693276598997788,0.05763535120919407,0.8899999452598238,0.0009473949842680808,0.0010352764387535037,0.020689147875142953,0.0050453489379318605,0.0007445928567648146,0.010754768390487788
2014-01-01 00:00:00+00:00,0.011390885455698706,0.0040710502729487015,0.05695542991201114,0.8889375752049111,0.000949907718938304,0.0012107641082743175,0.019913622402104283,0.0066354808026407,0.0007879460100390882,0.009147338112433609
2014-01-02 00:00:00+00:00,0.014196214639282927,0.005363130246745584,0.057109599882306156,0.8850606415794705,0.001136477050173583,0.001466500738562548,0.02032100298975098,0.0066661504536627576,0.0006275700319697866,0.00805271238807513
2014-01-03 00:00:00+00:00,0.013134413099117608,0.00503194278004067,0.054373331377492916,0.8913601907688993,0.0010445503833709515,0.0015081654476347443,0.019290627704051936,0.005391028702608953,0.0005504377278236505,0.008315312008959247
2014-01-04 00:00:00+00:00,0.012947608033079401,0.005063731826239996,0.0525695209724922,0.893055996036899,0.0010296869244526407,0.0014519384635260874,0.0187445574511783,0.0053943313900774665,0.0005390345380158103,0.009203594364039116
2014-01-05 00:00:00+00:00,0.012012997979855685,0.004758009555892452,0.05212870917019994,0.8989323437899429,0.000998240180351314,0.0013641053362898636,0.01558101984312609,0.005005099141960035,0.0004647763354653391,0.0087546986669164
2014-01-06 00:00:00+00:00,0.011360426275918057,0.004715918044083596,0.055585270593268524,0.8976761448479086,0.0009895362094310266,0.0013042384392995532,0.015521059012812689,0.0040317014620863045,0.0004411830849316395,0.00837452203025998
2014-01-07 00:00:00+00:00,0.010386136691132399,0.004195389327784182,0.052788637920756026,0.9030635030784392,0.0009002824323464046,0.001151125425905709,0.016545553182776916,0.002991079524118566,0.0004786047094501295,0.007499687707290443
2014-01-08 00:00:00+00:00,0.011172124246969232,0.004368738290315766,0.05273904830375038,0.9028742467397332,0.0009683030739688513,0.0011809782511734703,0.015901695910813283,0.003498319187286915,0.00047487717336682563,0.006821668822622166
2014-01-09 00:00:00+00:00,0.011034654842664256,0.0044035865148215605,0.0526477397687366,0.9034348986275302,0.0009504871909488795,0.00116808263496291,0.015241769355989261,0.003868959798891384,0.0005260291167774778,0.006723792148677405
2014-01-10 00:00:00+00:00,0.0106449981816385,0.004440928755508449,0.05242047692126502,0.9034641909823207,0.0009321475019217929,0.0011809763157429355,0.015168657844980678,0.0037661535751645084,0.0008020490625982621,0.007179420858859136
2014-01-11 00:00:00+00:00,0.011012099668938001,0.0043006775527637845,0.05355411163664319,0.9031368678091044,0.0008914933028933426,0.0012228134087600344,0.015147663335870915,0.0035854158892000216,0.0007473360032648746,0.00640152139256146
2014-01-12 00:00:00+00:00,0.011077696860350124,0.004318318144723939,0.053186152233386526,0.9036253906278152,0.0008731757276472725,0.001221702371875226,0.014720689071705784,0.0034497274903548493,0.0007864905340112791,0.006740656938129818
2014-01-13 00:00:00+00:00,0.011085172914521399,0.004343862028449087,0.05294653989788312,0.9057105910697297,0.0009003595270507171,0.0011927873750673954,0.014875340545262579,0.00333481372738082,0.0006676580936603637,0.004942874820994787
2014-01-14 00:00:00+00:00,0.011051059241267133,0.004312715492806258,0.053036637641855504,0.9043681009216256,0.0008800895217006504,0.0011708772962762035,0.014658548687379513,0.003366600914791664,0.0008501110876575098,0.0063052591946400295
2014-01-15 00:00:00+00:00,0.011005504315697277,0.004301521026415277,0.05370233212253337,0.9033626907637424,0.0008598507151251878,0.0011941838492175488,0.014859343447319718,0.003051374192532539,0.0010205737924457268,0.006642625774970954
2014-01-16 00:00:00+00:00,0.011036828820407059,0.004241221799002043,0.053792060883518546,0.9048606665612564,0.0008646172326571709,0.0011968948495851093,0.0145022307729785,0.0029112016341063278,0.0010032322307703553,0.005591045215718448
2014-01-17 00:00:00+00:00,0.01086636297590068,0.004165078717200028,0.05353860018132331,0.9050253559441841,0.0008230483285070382,0.0012007549787723738,0.014524597032016057,0.0026528100538718465,0.0011367927526221542,0.006066599035602438
