,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,0.05182329986511059,0.22267969910966662,0.22685900222807337,0.0,1.0,-0.4187410936298205,0.0,,0.0850832779191916
BTC,0.05848041184648045,0.21463664797960802,0.2663757884593332,0.006657111981369861,0.9377296281559713,-0.3639840909442027,0.008650066922251518,34.319582022591355,0.0
EW,0.31681306318927477,0.28577643474460507,1.1040331508180343,0.2649897633241642,0.9873607150445876,-0.43793779923908815,0.036066269400034705,241.91583002842881,0.0
MV,0.24958834086701945,0.24802174262529075,1.0010490722721748,0.19776504100190886,0.8072009983305045,-0.4075183136963981,0.03710585042855499,88.15182633578901,0.6896632082741366
Low Vol,0.062086690745724794,0.23808866887561642,0.2552842414723816,0.010263390880614204,0.9716630673795097,-0.4642732089536268,0.018246248357106084,1.303256991797157,
High Vol,1.9655687603124734,0.6972964931341459,2.816968641237587,1.9137454604473627,0.9397620686376035,-0.4335476990855386,0.15633594334879486,250.48379407647857,
Low Beta,0.5141469861698268,0.3831710001112785,1.3384117809339597,0.4623236863047162,0.9519437555472307,-0.4196162482240212,0.08981584606532929,160.29087043021985,0.1846153846153846
High Beta,0.8317149709336307,0.4873754093017889,1.7038376364015266,0.7798916710685201,0.9872909812391679,-0.4768637760790321,0.10205311329966908,167.1460647455485,0.1576923076923077
Low Beta EW,0.5141469861698268,0.3831710001112785,1.3384117809339597,0.4623236863047162,1.1466610681065605,-0.4196162482240212,0.08981584606532929,160.29087043021985,0.1192307692307692
High Beta EW,0.8317149709336307,0.4873754093017889,1.7038376364015266,0.7798916710685201,1.352731114144384,-0.4768637760790321,0.10205311329966908,167.1460647455485,0.125
Low Beta BTC,0.43633847328849096,0.30881920100504334,1.4086950110745944,0.3845151734233804,0.9337679574793672,-0.4281950237886145,0.07220135031506199,157.83782380612084,0.1711538461538461
High Beta BTC,0.8294582641594231,0.49046991697200304,1.6884865513536718,0.7776349642943126,0.9649962312704261,-0.4414346054971985,0.10241149044044895,178.86129675215807,0.1942307692307692
