,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,,,,,,,,,0.0812559606160169
BTC,,,,,,,,,0.0
EW,,,,,,,,,0.0
MV,,,,,,,,,0.8442274127304406
Low Vol,,,,,,,,,
High Vol,,,,,,,,,
Low Beta,,,,,,,,,0.3361702127659575
High Beta,,,,,,,,,0.3361702127659575
Low Beta EW,,,,,,,,,0.0638297872340425
High Beta EW,,,,,,,,,0.0638297872340425
Low Beta BTC,,,,,,,,,0.1191489361702127
High Beta BTC,,,,,,,,,0.11914893617021276
