,monthly_returns,volatility,sharpe,excess_returns
Low Vol Before,-0.2758439249105324,0.26919550946466236,-1.0327574838331186,-0.26434682738488463
High Vol Before,-0.08157337080877158,0.3736244838356341,-0.2241371391200874,-0.07007627328312382
Low Vol After,0.03720446335714323,0.21679991790972486,0.16558151033731985,-0.03241028416520953
High Vol After,0.5907581979469015,0.8898148541696647,0.6624431921720474,0.5211434504245488
