,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover,HHI
CW,0.06923150703336264,0.2235930861158021,0.30378891720086204,0.0,1.0,-0.40447693657674455,0.0,,0.3862512332383889,4944.0
BTC,0.05848041184648045,0.21463664797960802,0.2663757884593332,-0.010751095186882192,0.9342758322631068,-0.3639840909442027,0.008883053997743928,-48.01658584008968,0.0,1.0
EW,0.31681306318927477,0.28577643474460507,1.1040331508180343,0.24758155615591212,0.9945223047052665,-0.43793779923908815,0.035640461555299166,224.50890203762444,0.0,100.0
MV,0.12164308312571653,0.22685221758426422,0.5304628665239892,0.05241157609235389,0.7710875674666929,-0.4262669139939249,0.02850258914873788,33.725992342204485,4.405131032783778,939.0
Low Vol,0.016074265480994575,0.2261718343683173,0.06529486756649512,-0.05315724155236807,0.9354583249433962,-0.46761383731503947,0.016300321053536928,-163.97456858076686,,
High Vol,3.141173101146931,0.7286752289456236,4.309007045816011,3.0719415941135684,0.9954915854892391,-0.4198938480605269,0.16116118800548934,285.0319988494263,,
Low Beta,0.7315495276510491,0.49777325043356974,1.4670196148675119,0.6623180206176864,0.6860454423129001,-0.40430625840776424,0.13302289847577467,140.9053298967141,0.6596153846153846,500.0
High Beta,0.7881044602988031,0.48939783216744276,1.6076860236703372,0.7188729532654404,1.2631335029861603,-0.491890677982986,0.0838916994916538,193.5291285237265,0.605769230769231,500.0
Low Beta EW,0.08762145422196341,0.22882670352735018,0.3772070627369008,0.018389947188600764,0.5413483456675551,-0.43642646572846233,0.022185804942040654,17.347008672303705,0.3826923076923077,500.0
High Beta EW,2.236057341374635,0.7202441411327615,3.1027686422430234,2.1668258343412723,2.4150298571120143,-0.5070432782049742,0.1578637246896635,234.77869718937387,0.5057692307692307,500.0
Low Beta BTC,0.6667378726980491,0.4792988421388825,1.3883435733328735,0.5975063656646864,0.6507984256043748,-0.43957863522478635,0.13065655809193166,127.58287134257328,0.6365384615384616,500.0
High Beta BTC,0.5979742923742812,0.4090647512012216,1.4586147672551049,0.5287427853409186,1.190595562064595,-0.4626907841368596,0.05932512604676429,245.27466014272014,0.7153846153846154,500.0
