datetime,peercoin,namecoin,litecoin,bitcoin,feathercoin,primecoin,ripple,nxt,dogecoin,omni,vertcoin,digibyte,reddcoin,dash,counterparty,monacoin,gulden,einsteinium,groestlcoin,maidsafecoin
2014-04-29 00:00:00+00:00,0.007338599094012999,0.00293907433573408,0.04689194127246412,0.9177042045213275,0.0005931703279111283,0.0006843292196225438,0.006768160645351703,0.0034294540662404244,0.006004517853628829,0.003791104205014593,0.0005412211346171054,4.146338176092439e-05,0.00012176526133695018,0.0011031445740730822,0.0006724654933700226,4.092829746514673e-05,2.559346614605096e-05,2.533125223647253e-05,1.8560030114557083e-05,0.001264971567571788
2014-04-30 00:00:00+00:00,0.007504588184436082,0.0029964018814866954,0.04903005387403694,0.9155199343882714,0.0005966420915576749,0.0006788321725409764,0.006746373715560106,0.00353897597969336,0.006072916440463681,0.0036463989599459868,0.0005583580532524549,5.757092711208977e-05,0.00012402724664441396,0.0010358342765248735,0.0006221911139481775,4.234859334672247e-05,2.5995777559719e-05,2.709360156934547e-05,2.033500185240266e-05,0.001155127720196946
2014-05-01 00:00:00+00:00,0.007465052454598041,0.0030429616002863734,0.048865596983962395,0.9160235144394491,0.0005941535338717862,0.0006814186559725052,0.006659120667894719,0.003627923310977849,0.005992914978883994,0.003585144158350299,0.0005604208094982676,5.544220099587147e-05,7.957256608230162e-05,0.000999418130449153,0.0006511906731498735,4.2430299216769395e-05,2.746201743936548e-05,2.78182664795131e-05,1.6892246889543918e-05,0.0010015520055522635
2014-05-02 00:00:00+00:00,0.0072586422117483064,0.0029385968919421247,0.04725689826596907,0.9182744810721414,0.0005738550161900449,0.000675622453327384,0.006674579498010082,0.003715268595620093,0.005860105885832763,0.0034856706569948584,0.0005510882862279913,4.9541073912643894e-05,6.29241497655811e-05,0.0009095430057820917,0.0005551333275306218,4.2860539295254395e-05,2.6220323322650757e-05,2.7498313498321026e-05,1.9452886658373678e-05,0.0010420175462303699
2014-05-03 00:00:00+00:00,0.0073159624527513074,0.002939307326220095,0.04766104316990628,0.9182620303079396,0.0005706377270949046,0.0006746257259567972,0.006474424860690874,0.003782974234267046,0.005777960993940556,0.0034099913309985934,0.0005356372913211648,4.169878878110661e-05,8.050123306402365e-05,0.000829536307569728,0.0005120479913014477,4.149586333561593e-05,2.6816490471684008e-05,2.724014473237537e-05,1.8615730876013252e-05,0.0010174520287807535
2014-05-04 00:00:00+00:00,0.0073843734680966305,0.003007751174277793,0.04786802489078796,0.9177984019868252,0.0005724241439562967,0.0006661408162280504,0.0064900026488260674,0.0037329759573388357,0.005878659319126451,0.0033101207804263483,0.0005537584661238919,3.80753721937936e-05,7.954582580832061e-05,0.001080245083208364,0.00048822288627574595,3.55440967720671e-05,2.434039417438891e-05,2.550045192477675e-05,1.689295890292025e-05,0.0009489992787261215
2014-05-05 00:00:00+00:00,0.007313121324750509,0.0029244606776601665,0.047582840336973,0.9179443189833663,0.0005540686308192254,0.0006623756935100197,0.006780490431479491,0.0037355178672977447,0.005753388782463138,0.0032222712527513625,0.0005319017207874168,3.789202027121992e-05,7.933676048991219e-05,0.0011769557423175856,0.0006002478360802773,3.769658740894089e-05,2.091281319641804e-05,2.4970332069011116e-05,1.4070999758249715e-05,0.0010031612065500924
2014-05-06 00:00:00+00:00,0.007295333794441809,0.0029488287249626994,0.04869164032782623,0.9156354707226663,0.0005494175313096382,0.0006639268827321237,0.007825467501958998,0.0037473329466058314,0.005839470291460374,0.0033570292513406,0.000527461953372545,3.743321628361443e-05,8.032524425957119e-05,0.0011416002233334407,0.0005443803814807962,3.783309116688622e-05,2.3598148654170628e-05,2.454001656866663e-05,1.585086607705198e-05,0.0010130588834986762
2014-05-07 00:00:00+00:00,0.007179126630061723,0.0029192742144060774,0.04845827275797505,0.9154275908112814,0.0005494829438921477,0.0006657300548868303,0.008130194313480039,0.0038117496416096544,0.005920132153999564,0.003429596374201068,0.0005418573264910313,3.8333578499148704e-05,8.112312951298392e-05,0.001132230949005862,0.0005080814019547804,3.620088789858312e-05,2.7291071466354614e-05,2.354097451243879e-05,1.365347703790878e-05,0.0011065373078273475
2014-05-08 00:00:00+00:00,0.0072407231051837525,0.002845929362707104,0.048048359786991374,0.9156852068903436,0.000545960211353729,0.0006636511108840131,0.007758610660765742,0.004242952509351788,0.005888828111983704,0.0034965929752387554,0.0005380181290593756,3.6817662737375914e-05,9.764308328167177e-05,0.0011444913401765843,0.0005949882379933802,3.640469273974533e-05,2.3330519656655392e-05,2.040120757069547e-05,1.4320101933648947e-05,0.001076770300047346
2014-05-09 00:00:00+00:00,0.007426023994671381,0.0028890106552888913,0.04837132367786984,0.9141038570835687,0.0005713443689028605,0.0006562056904099884,0.00756139962559876,0.004973153248494857,0.006052112084622235,0.0033454545241303024,0.0005734196394711104,3.562608960369076e-05,0.000114562624508866,0.0015101939663258067,0.0007162314040189365,3.456380759016349e-05,2.69145475588326e-05,2.539697903582841e-05,1.4513653339947543e-05,0.0009986923349890177
2014-05-10 00:00:00+00:00,0.0072530246487454205,0.0028828021955197443,0.047866511382895785,0.915178947904879,0.0005221750693082263,0.000627373045074977,0.007376115341315218,0.004856580506764338,0.005812632601108411,0.0032456550405930663,0.0006298969336686731,3.299625483925122e-05,0.0001296683097556713,0.001728186407186163,0.0007591346206254325,3.5009775671273865e-05,2.4520075896385587e-05,2.1630150028073574e-05,1.2128182415706014e-05,0.0010050115537091787
