,monthly_returns,volatility,sharpe,excess_returns
Low Vol Before,0.08267338421510506,0.22183583159942077,0.3628973350757303,0.004296952377811511
High Vol Before,0.2610813888295136,0.35185016653659595,0.735857650075085,0.18270495699222006
Low Vol After,0.09166065610666431,0.22941651979876063,0.3938436982536268,-0.015415855003910767
High Vol After,0.3208836185371034,0.3435162490918292,0.9303117796416949,0.2138071074265283
