,crypto_name,first_date_marketcap
4,bitcoin,2013-04-28
7,litecoin,2013-04-28
84,ripple,2013-08-04
40,nxt,2013-12-04
43,dogecoin,2013-12-15
177,digibyte,2014-02-06
14,dash,2014-02-14
180,monero,2014-05-21
117,bitshares,2014-07-21
68,stellar,2014-08-05
3,verge,2014-10-25
60,nem,2015-04-01
92,ethereum,2015-08-07
130,siacoin,2015-08-26
77,decred,2016-02-10
124,lisk,2016-04-06
186,steem,2016-04-18
25,digixdao,2016-04-18
57,bytecoin-bcn,2016-05-14
97,augur,2016-05-14
123,waves,2016-06-02
174,ardor,2016-07-23
135,ethereum-classic,2016-07-24
76,stratis,2016-08-12
47,neo,2016-09-09
138,zcash,2016-10-29
16,komodo,2017-02-05
175,nano,2017-03-07
6,ark,2017-03-22
8,qtum,2017-05-24
190,zencash,2017-06-01
113,aeternity,2017-06-01
156,basic-attention-token,2017-06-01
150,iota,2017-06-13
157,bancor,2017-06-22
100,status,2017-06-28
65,eos,2017-07-01
96,populous,2017-07-11
105,omisego,2017-07-14
95,ethos,2017-07-18
0,smartcash,2017-07-21
1,bitcoin-cash,2017-07-23
165,binance-coin,2017-07-25
32,bytom,2017-08-08
51,dentacoin,2017-08-11
86,dent,2017-08-12
39,0x 3,2017-08-16
118,0x,2017-08-16
37,0x 2,2017-08-16
91,hypercash,2017-08-20
184,waltonchain,2017-08-27
34,maker,2017-08-27
133,loopring,2017-08-30
28,tron,2017-09-13
53,decentraland,2017-09-17
160,chainlink,2017-09-20
11,cardano,2017-10-01
19,tezos,2017-10-02
30,bitcoin-gold,2017-10-23
54,kucoin-shares,2017-10-24
9,icon,2017-10-27
153,enjin-coin,2017-11-01
69,revain,2017-11-01
178,bitcoin-diamond,2017-11-24
140,aave,2017-11-30
71,aave 3,2017-11-30
83,aave 2,2017-11-30
189,dragonchain,2017-12-03
155,wax,2017-12-21
78,telcoin,2018-01-15
112,iostoken,2018-01-16
75,theta,2018-01-17
103,zilliqa,2018-01-25
56,huobi-token,2018-02-03
52,swissborg,2018-02-03
35,ren,2018-02-21
132,ontology,2018-03-08
98,ravencoin,2018-03-10
158,bitcoin-private,2018-03-10
29,synthetix-network-token,2018-03-14
126,wanchain,2018-03-23
85,xinfin-network,2018-04-13
107,holo,2018-04-30
20,nexo,2018-05-01
18,iotex,2018-05-25
163,niobio-cash,2018-07-31
94,vechain,2018-08-03
129,quant,2018-08-10
154,rapids,2018-10-11
169,helium,2018-10-18
89,zbg-token,2018-10-23
26,fantom,2018-10-30
145,bitcoin-sv,2018-11-09
111,crypto-com-coin,2018-12-14
79,wrapped-bitcoin,2019-01-30
152,bittorrent,2019-01-31
5,content-value-network,2019-02-08
162,kickico,2019-02-08
93,business-credit-alliance-chain,2019-02-08
143,privcy,2019-02-08
183,pundi-x,2019-02-08
101,ankr,2019-03-06
55,cosmos,2019-03-14
108,celer-network,2019-03-25
179,theta-fuel,2019-03-28
50,matic-network,2019-04-28
42,okb,2019-04-30
159,drep,2019-05-07
173,unus-sed-leo,2019-05-21
137,pirate-chain,2019-05-22
2,reserve-rights,2019-05-24
23,harmony,2019-06-01
120,bitcoin-bep2,2019-06-18
62,algorand,2019-06-21
36,chiliz,2019-07-01
87,thorchain,2019-07-23
102,luna,2019-07-26
59,ftx-token,2019-07-31
185,hedera-hashgraph,2019-09-17
22,bitpanda-ecosystem-token,2019-10-18
21,blockstack,2019-10-28
136,nervos-network,2019-11-19
49,kusama,2019-12-14
82,hex,2019-12-17
147,celsius,2020-02-05
72,wazirx,2020-02-06
110,solana,2020-04-10
104,celo,2020-05-22
27,uma,2020-05-25
66,arweave,2020-05-27
15,kadena,2020-05-31
146,compound,2020-06-16
41,avalanche,2020-07-13
33,nexus-mutual,2020-07-20
13,yearn-finance,2020-07-20
151,wrapped-nxm,2020-07-28
61,serum,2020-08-11
181,curve,2020-08-14
128,the-sandbox,2020-08-14
139,polkadot-new,2020-08-20
167,sushi,2020-08-28
148,elrond-egld,2020-09-04
141,amp,2020-09-11
119,uniswap,2020-09-17
73,pancakeswap,2020-09-29
168,secret,2020-09-30
144,crust,2020-09-30
80,near-protocol,2020-10-14
48,file-coin,2020-10-15
10,nucypher,2020-10-16
38,counos-x,2020-10-21
161,huobi-btc,2020-10-23
63,axie-infinity,2020-11-06
17,venus,2020-11-06
114,bitcoin-cash-abc-2,2020-11-17
24,audius,2020-11-24
172,the-graph,2020-12-17
90,1inch,2020-12-25
142,bonfida,2020-12-28
12,perpetual-protocol,2021-01-18
187,flow,2021-01-27
106,deri-protocol,2021-02-11
122,creditcoin,2021-03-09
81,rally,2021-03-10
166,shiba-inu,2021-03-15
88,safemoon,2021-03-16
134,jasmy,2021-03-18
44,klaytn,2021-03-25
164,symbol,2021-03-25
67,mdex,2021-04-06
99,conflux-network,2021-04-06
74,ecomi,2021-04-26
121,dogelon,2021-04-26
46,bakerytoken,2021-04-29
45,internet-computer,2021-05-10
171,raydium,2021-05-14
58,bridge-oracle,2021-05-14
115,convex-finance,2021-05-18
70,mina,2021-06-24
127,bitdao,2021-09-02
131,dydx,2021-09-08
64,steth,2021-09-09
149,wbnb,2021-09-09
109,egoras,2021-09-09
116,the-transfer-token,2021-09-09
125,youcash,2021-09-09
188,ecash,2021-09-09
31,p-aave,2021-10-05
182,p-matic-network,2021-10-05
176,p-chainlink,2021-10-05
170,p-uniswap,2021-10-05
