,monthly_returns,vol_roll_120,sharpe,excReturns,beta,max_drawdown,hit_ratio,TE,IR,OWTurnover
CW,0.030707113052264572,0.21116954504147883,0.13920852260195907,0,0.9999999999999991,-0.6294868450903311,,,,
EW,0.030804483769002546,0.20313489752973105,0.14519401372761823,9.737071673797393e-05,1.0252253371261013,-0.5737419795889795,,,,
