date,perf
2016-08-23,-0.006452281848879425
2016-08-24,-0.005510154325477374
2016-08-25,-0.003378995043591124
2016-08-26,0.0021448972640605362
2016-08-27,-0.0156923718587129
2016-08-28,0.01004774953142493
2016-08-29,0.004054844382727146
2016-08-30,0.005214635381215103
2016-08-31,6.695383053296711e-05
2016-09-01,-0.00422271245801663
2016-09-02,0.008427190589399372
2016-09-03,0.03022721340658125
2016-09-04,0.01766838342763996
2016-09-05,-0.002188056878916268
2016-09-06,0.0029424365855218074
2016-09-07,0.003979574938025881
2016-09-08,0.014525143149525712
2016-09-09,-0.002640799701510717
2016-09-10,0.005010478234285503
2016-09-11,-0.03006033875215654
2016-09-12,0.004331246507480137
2016-09-13,0.0025423329713498656
2016-09-14,0.001970525735675556
2016-09-15,0.001850417362702814
2016-09-16,0.000918015560333422
2016-09-17,-0.0007176232051068228
2016-09-18,0.003064740490222871
2016-09-19,0.005038684390018972
2016-09-20,0.008323048095471831
2016-09-21,-0.021637623153815826
2016-09-22,-0.004309383884339561
2016-09-23,0.011307215275181625
2016-09-24,-0.0018066168189814803
2016-09-25,0.000761762353537098
2016-09-26,0.006623600338809431
2016-09-27,0.00015584339383006946
2016-09-28,0.001409436553814764
2016-09-29,-0.001570964299042981
2016-09-30,0.005924659904291237
2016-10-01,0.0015253730305116904
2016-10-02,-0.003287775227389458
2016-10-03,0.0029662142918019463
2016-10-04,-0.0053715728709419494
2016-10-05,-0.004509608121203376
2016-10-06,-0.00187839719066429
2016-10-07,0.002609392288072492
2016-10-08,-0.0009860733437670733
2016-10-09,-0.003185615981852162
2016-10-10,0.0003625883681369029
2016-10-11,0.030282495997195083
2016-10-12,-0.006494577894136246
2016-10-13,0.0014966407203418977
2016-10-14,0.0061188204249471795
2016-10-15,-0.004662634076133583
2016-10-16,0.0029527360068974267
2016-10-17,-0.0041197142349182975
2016-10-18,0.0036951265893857403
2016-10-19,-0.013407994857426062
2016-10-20,0.0026920715713948883
2016-10-21,0.0036066096289626183
2016-10-22,0.03058541187751843
2016-10-23,0.0002914328005043805
2016-10-24,-0.006153660972152412
2016-10-25,-0.0003922241931449337
2016-10-26,0.027301779581762452
2016-10-27,0.011406712250864969
2016-10-28,-0.0036642048184524646
2016-10-29,0.02422430816497273
2016-10-30,-0.007696412184600252
2016-10-31,-0.002978374512627878
2016-11-01,0.03273768335536176
2016-11-02,0.013504180976458755
2016-11-03,-0.06393838344505164
2016-11-04,0.021190261004311668
2016-11-05,0.002745850549332556
2016-11-06,0.00853374062325168
2016-11-07,-0.010345498350159214
2016-11-08,0.008409601204747676
2016-11-09,0.014757034162307902
2016-11-10,-0.010083604116889824
2016-11-11,0.00030825682363764737
2016-11-12,-0.016236753691737504
2016-11-13,-0.0019501311337884273
2016-11-14,0.002478862817280477
2016-11-15,0.008811860401515425
2016-11-16,0.03730777243417944
2016-11-17,-0.004875726678058777
2016-11-18,0.00934314267688598
2016-11-19,0.0014171166019417692
2016-11-20,-0.025786302509520104
2016-11-21,0.010459265928798953
2016-11-22,0.01631726320261805
2016-11-23,-0.00922198733578704
2016-11-24,-0.009030649089136387
2016-11-25,0.0024822997017512095
2016-11-26,-0.0066536148708197145
2016-11-27,-0.005967518649733159
2016-11-28,0.0019912270460229475
2016-11-29,-0.004821359135127742
2016-11-30,0.016001465061756558
2016-12-01,0.011468260960106287
2016-12-02,0.02029972937391994
2016-12-03,-0.00657075536960568
2016-12-04,-0.0003333106041643918
2016-12-05,-0.023063976761807197
2016-12-06,0.014908196027276362
2016-12-07,0.009150289405309596
2016-12-08,0.003013492735854723
2016-12-09,0.004116464711560127
2016-12-10,-0.0014808731206802498
2016-12-11,-0.005239737237695484
2016-12-12,0.014017913757436171
2016-12-13,-0.0008592188272035318
2016-12-14,0.0004945711609643088
2016-12-15,-0.006145171361983807
2016-12-16,0.008696521361502072
2016-12-17,0.00591498969554735
2016-12-18,0.0006418039879797892
2016-12-19,0.0007535259526101116
2016-12-20,0.008695744900846045
2016-12-21,0.037786301051399254
2016-12-22,0.03089023237585362
2016-12-23,0.059670613499075674
2016-12-24,-0.02240844729011329
2016-12-25,-0.0035186459863839384
2016-12-26,0.01273348110737353
2016-12-27,0.026928833963258948
2016-12-28,0.044074814787558855
2016-12-29,0.0023955840492279165
2016-12-30,-0.012160019464397681
2016-12-31,0.001779272571866292
2017-01-01,0.033643186368790615
2017-01-02,0.024182035427009665
2017-01-03,0.02680458764531362
2017-01-04,0.10292206808750902
2017-01-05,-0.1266287755248205
2017-01-06,-0.10737409490549202
2017-01-07,0.0040010122350020855
2017-01-08,0.005075029851953284
2017-01-09,-0.007240877052041353
2017-01-10,0.007866831380833194
2017-01-11,-0.14739783100844803
2017-01-12,0.03280563807217933
2017-01-13,0.020381434372062378
2017-01-14,-0.0062418084261360186
2017-01-15,0.004873750582705525
2017-01-16,0.009652411583438531
2017-01-17,0.08424130754459053
2017-01-18,-0.022370535532235097
2017-01-19,0.01458464465596071
2017-01-20,-0.003967581817368485
2017-01-21,0.02818838332688953
2017-01-22,0.0016987241876664052
2017-01-23,-0.0028510844395654694
2017-01-24,-0.030453023873299914
2017-01-25,0.008818560912904694
2017-01-26,0.0174646799375592
2017-01-27,0.001579721978250571
2017-01-28,0.0026041316843527593
2017-01-29,-0.002031817508834678
2017-01-30,0.0021905894063572024
2017-01-31,0.04818731083384276
2017-02-01,0.01781797767042737
2017-02-02,0.021358384501252294
2017-02-03,0.017613842108647085
2017-02-04,0.012978964800661687
2017-02-05,-0.014490410744805164
2017-02-06,0.009638658690986077
