,monthly_returns,volatility,sharpe,excReturns,beta,max_drawdown,TE,IR,monthly_turnover
CW,0.08805382362614192,0.20444002914284307,0.42431718720254696,0.0,1.0,-0.35267599443646724,0.0,,0.0856758194604458
BTC,0.08664769678154363,0.2062312152959086,0.4138136467384367,-0.0014061268445982877,0.99354546690615,-0.3639840909442025,0.006653274651551395,15.870224474915787,0.0
EW,0.21952681163838386,0.24189547294953195,0.9021268710360215,0.13147298801224194,0.9202031605667165,-0.4160703267929079,0.029582568392719957,225.007549588389,0.0
MV,0.16281182026625268,0.21601615584767506,0.7476543322597364,0.07475799664011076,0.8153988423917908,-0.41352647884046545,0.02804138401546557,124.37224136471606,1.0047689300576046
Low Vol,0.1521507759786577,0.2272390410743238,0.6638136200402136,0.06409695235251578,0.9080636449116307,-0.45651530940495955,0.0264765565530129,98.16959042496417,0.4441860465116279
High Vol,0.28246923472927393,0.30615169374895035,0.9183775068420437,0.194415411103132,0.9323426762218022,-0.37565556414836665,0.044682879544215535,239.76542796172407,0.4441860465116279
Low Beta,0.20950363643173397,0.25142115191027253,0.8280816046749783,0.12144981280559206,0.869861217019109,-0.42105790141605226,0.034994552724270975,176.41058600607116,0.2666666666666666
High Beta,0.21951886188612324,0.28409281260527636,0.7681026998759997,0.13146503825998132,0.9705451041143242,-0.4127673415571479,0.037613959434331726,189.80168542236703,0.2666666666666666
Low Beta EW,0.20950363643173397,0.25142115191027253,0.8280816046749783,0.12144981280559206,0.9423691020063963,-0.42105790141605226,0.034994552724270975,176.41058600607116,0.0933333333333333
High Beta EW,0.21951886188612324,0.28409281260527636,0.7681026998759997,0.13146503825998132,1.0576308979936042,-0.4127673415571479,0.037613959434331726,189.80168542236703,0.0933333333333333
Low Beta BTC,0.20975591855956285,0.25405240187898454,0.8204981000345424,0.12170209493342093,0.8006207687201276,-0.4582811318369603,0.034672234101832136,174.14988830474329,0.2733333333333334
High Beta BTC,0.21956373068626983,0.28128849427986563,0.7759198460512662,0.1315099070601279,0.9299554395912201,-0.40225775261990837,0.03755302933174672,193.711050279878,0.2733333333333334
