date,ponderated_index
2014-04-29,0.016550651200493018
2014-04-30,-0.0009185914398307781
2014-05-01,0.021057610137908335
2014-05-02,-0.02248604022541378
2014-05-03,-0.027993517796870745
2014-05-04,-0.0041954852881125005
2014-05-05,-0.008068267478391794
2014-05-06,-0.007379097487489248
2014-05-07,0.023828317490841334
2014-05-08,0.004549025736186091
2014-05-09,0.020083418401079824
2014-05-10,0.009450053621160167
2014-05-11,-0.03596950095352871
2014-05-12,0.003038746908134681
2014-05-13,-0.0029257079688575407
2014-05-14,0.01136043856164104
2014-05-15,0.0009948185812658
2014-05-16,0.00045588698553959066
2014-05-17,-0.0014450579987882305
2014-05-18,-0.005044189773526508
2014-05-19,-9.892363750292235e-05
2014-05-20,0.0831726194840809
2014-05-21,0.015392148473693057
2014-05-22,0.050927703097323494
2014-05-23,0.0094559770029048
2014-05-24,0.005600581572639847
2014-05-25,0.08978065298514504
2014-05-26,0.010196303861378027
2014-05-27,-0.026281413739417
2014-05-28,-0.0016999098190011715
2014-05-29,-0.021133537040567515
2014-05-30,0.07939620223413164
2014-05-31,0.021422465212708575
2014-06-01,0.0029131938198684953
2014-06-02,0.04336196572543282
2014-06-03,0.0077936694554216765
2014-06-04,-0.03753557669944152
2014-06-05,0.025196671890544527
2014-06-06,0.007927397604960942
2014-06-07,-0.004956101796198713
2014-06-08,0.0025241700475287366
2014-06-09,-0.013636382447586163
2014-06-10,0.0022219513513953115
2014-06-11,-0.02863883360499195
2014-06-12,-0.0710064233406946
2014-06-13,0.02314416609969965
2014-06-14,-0.04263919907831926
2014-06-15,0.02666130556144002
2014-06-16,-0.0018867087617387137
2014-06-17,0.030982180621907704
2014-06-18,-0.004525953736292805
2014-06-19,-0.017797241269042665
2014-06-20,-0.009558883583671842
2014-06-21,-0.001399151245172252
2014-06-22,0.010577699571297951
2014-06-23,-0.014996508954859994
2014-06-24,-0.019877564729305276
2014-06-25,-0.028844246867346674
2014-06-26,0.026936612900393474
2014-06-27,0.023952096760808946
2014-06-28,-0.0012455008177233134
2014-06-29,0.007395965951067398
2014-06-30,0.05824502843563562
2014-07-01,-0.0004237641010355834
2014-07-02,0.018241654091572516
2014-07-03,-0.004177395321385582
2014-07-04,-0.021918563953426663
2014-07-05,-0.00242594117690838
2014-07-06,0.006015606457667307
2014-07-07,-0.020345580244506556
2014-07-08,0.006424988176605143
2014-07-09,-0.008098613989771629
2014-07-10,-0.012948386148115824
2014-07-11,0.024648155370540197
2014-07-12,0.0021538078802514635
2014-07-13,-0.010674528211618068
2014-07-14,-0.011671101764834177
2014-07-15,0.004388202724134334
2014-07-16,-0.009220202027716088
2014-07-17,0.010148225555005115
2014-07-18,0.007570789833782355
2014-07-19,-0.0011055933269229507
2014-07-20,-0.007031866288900242
2014-07-21,-0.0034214765764987026
2014-07-22,-0.001231946361037253
2014-07-23,-0.00240584475672072
2014-07-24,-0.029934197312393704
2014-07-25,-0.003866266455347873
2014-07-26,-0.012898816548839453
2014-07-27,-0.006162746291407806
2014-07-28,-0.015456806136430069
2014-07-29,0.0021866570220894495
2014-07-30,-0.030781437552988847
2014-07-31,0.030607074495731464
2014-08-01,0.013847379542353083
2014-08-02,-0.010725375414616982
2014-08-03,-0.004917687629361654
2014-08-04,0.003022144470083269
2014-08-05,-0.003576753870258357
2014-08-06,0.001556682388889416
2014-08-07,0.007064707197164398
2014-08-08,0.004354443151110103
2014-08-09,-0.007369109862311472
2014-08-10,0.0037660141291808555
2014-08-11,-0.02778688083346869
2014-08-12,-0.013354643575953326
2014-08-13,-0.04416617929819948
2014-08-14,-0.07769836782371253
2014-08-15,-0.018573826841262207
2014-08-16,0.04157938811777909
2014-08-17,-0.05696244461894766
2014-08-18,-0.06465825876574656
2014-08-19,0.056007424556569894
2014-08-20,0.05511381585673314
2014-08-21,0.010769482581849557
2014-08-22,-0.007586404333656883
2014-08-23,-0.03320222809817354
2014-08-24,0.021898804412136506
2014-08-25,-0.011539481349974803
2014-08-26,0.018750648434128426
2014-08-27,-0.002031901819827469
2014-08-28,-0.006043536555349436
2014-08-29,0.0005418821334235366
2014-08-30,-0.008938555106851421
2014-08-31,-0.05324702469882884
2014-09-01,-0.0062215265558529615
2014-09-02,0.0038020818008050014
2014-09-03,0.0008860257966183832
2014-09-04,0.026495175519766316
2014-09-05,-0.013394466741974665
2014-09-06,0.0041814235680996854
2014-09-07,-0.005179286667851377
2014-09-08,-0.017690912982120662
2014-09-09,0.001402722557084474
2014-09-10,0.008953918023519126
2014-09-11,0.0016381591023732322
2014-09-12,-0.0037472213089535583
2014-09-13,0.0062943873566350655
2014-09-14,-0.0038813513049604626
2014-09-15,-0.005466031426902075
2014-09-16,-0.01845105013975121
2014-09-17,-0.016549329820524285
2014-09-18,-0.0737589453876922
2014-09-19,-0.07229155182040604
2014-09-20,0.03410077463140417
2014-09-21,-0.025144772842555264
2014-09-22,0.010062204549481216
2014-09-23,0.07903796204798375
2014-09-24,-0.028709928471307794
2014-09-25,-0.02840993852039614
2014-09-26,-0.016847412651186618
2014-09-27,-0.01425852138186952
2014-09-28,-0.0564090974712062
2014-09-29,-0.006171313051160913
2014-09-30,0.0298890756267286
2014-10-01,-0.008964417073029845
2014-10-02,-0.021895825196421696
2014-10-03,-0.04342681292758536
2014-10-04,-0.08682190948830207
2014-10-05,-0.02576033847730335
2014-10-06,0.032956877915092615
2014-10-07,0.018512483486388696
2014-10-08,0.047287435392972324
2014-10-09,0.03626159751082509
2014-10-10,-0.013265486985236765
2014-10-11,0.0032369764603614793
